,title,price,disc
34,"Ընդարձակ 2 սենյականոց բնակարան նորակառույց շենքում Եկմալյան փողոցում, 107 ք.մ., բարձր առաստաղներ","$200,000","Նոր Նորք, 3 սեն., 77 ք.մ., 4/9 հարկ"
35,"3 սենյականոց բնակարան Գյուլիքեխվյան փողոցում, 77 ք.մ., 4/9 հարկ, մասնակի վերանորոգում","$255,000","Արաբկիր, 2 սեն., 61 ք.մ., 4/4 հարկ"
36,"2 սենյականոց բնակարան Մարշալ Բաղրամյան պողոտայում, 61 ք.մ., բարձր առաստաղներ, քարե շենք","$255,000","Կենտրոն, 5 սեն., 260 ք.մ., 5/7 հարկ"
37,"Ընդարձակ 5 սենյականոց բնակարան նորակառույց շենքում Թումանյան փողոցում, 260 ք.մ., 3+ սանհանգույց","$359,000","Նորք Մարաշ, 2 սեն., 69 ք.մ., 5/17 հարկ"
38,"2 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 69 ք.մ., բարձր առաստաղներ","$550,000","Շենգավիթ, 6 սեն., 117 ք.մ., 8/8 հարկ"
39,"6 սենյականոց բնակարան Բագրատունյաց պողոտայում, 117 ք.մ., 2 սանհանգույց, մի քանի պատշգամբ","$750,000","Կենտրոն, 3 սեն., 140 ք.մ., 8/9 հարկ"
40,"3 սենյականոց բնակարան Պուշկինի փողոցում, 140 ք.մ., բարձր առաստաղներ, նախավերջին հարկ","$295,000","Կենտրոն, 4 սեն., 179 ք.մ., 2/6 հարկ"
41,"4 սենյականոց բնակարան նորակառույց շենքում Այգեձորի փողոցում, 179 ք.մ., 2 սանհանգույց","$210,000","Կենտրոն, 4 սեն., 400 ք.մ., 17/17 հարկ"
42,"Ընդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 400 ք.մ., 3+ սանհանգույց","$525,000","Կենտրոն, 3 սեն., 80 ք.մ., 4/5 հարկ"
43,"3 սենյականոց բնակարան Ամիրյան փողոցում, 80 ք.մ., 2 սանհանգույց, բարձր առաստաղներ, նախավերջին հարկ","$120,000","Արաբկիր, 3 սեն., 140 ք.մ., 12/12 հարկ"
44,"3 սենյականոց բնակարան նորակառույց շենքում Ռիգայի փողոցում, 140 ք.մ., 2 սանհանգույց, բարձր առաստաղներ","$500,000","Կենտրոն, 3 սեն., 92 ք.մ., 1/4 հարկ"
45,"3 սենյականոց բնակարան Մոսկովյան փողոցում, 92 ք.մ., բարձր առաստաղներ, 1/4 հարկ, կապիտալ վերանորոգված","$535,000","Կենտրոն, 5 սեն., 190 ք.մ., 5/5 հարկ"
46,"5 սենյականոց բնակարան նորակառույց շենքում Աբովյան փողոցում, 190 ք.մ., 2 սանհանգույց","$230,000","Կենտրոն, 3 սեն., 77 ք.մ., 7/10 հարկ"
47,"3 սենյականոց բնակարան նորակառույց շենքում Եկմալյան փողոցում, 77 ք.մ., բարձր առաստաղներ, 7/10 հարկ","$75,000","Կենտրոն, 4 սեն., 160 ք.մ., 4/4 հարկ"
48,"4 սենյականոց բնակարան Պուշկինի փողոցում, 160 ք.մ., 2 սանհանգույց, բարձր առաստաղներ, մի քանի պատշգամբ","53,000,000 ֏","Կենտրոն, 3 սեն., 114 ք.մ., 8/14 հարկ"
49,"3 սենյականոց բնակարան նորակառույց շենքում Սասնա Ծռերի փողոցում, 114 ք.մ., բարձր առաստաղներ","$210,000","Կենտրոն, 6 սեն., 230 ք.մ., 5/6 հարկ"
50,"6 սենյականոց բնակարան Հանրապետության փողոցում, 230 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ","68,000,000 ֏","Կենտրոն, 4 սեն., 265 ք.մ., 9/10 հարկ"
51,"Ընդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Բելյակովի փողոցում, 265 ք.մ., 2 սանհանգույց","$238,000","Կենտրոն, 2 սեն., 78 ք.մ., 3/14 հարկ"
52,"2 սենյականոց բնակարան նորակառույց շենքում Պարոնյան փողոցում, 78 ք.մ., բարձր առաստաղներ, 3/14 հարկ","$195,000","Արաբկիր, 2 սեն., 80 ք.մ., 12/17 հարկ"
53,"2 սենյականոց բնակարան նորակառույց շենքում Նաիրի Զարյան փողոցում, 80 ք.մ., բարձր առաստաղներ","$510,000","Կենտրոն, 3 սեն., 69 ք.մ., 2/8 հարկ"
54,"3 սենյականոց բնակարան նորակառույց շենքում Փավստոս Բուզանդի փողոցում, 69 ք.մ., 2 սանհանգույց","$300,000","Կենտրոն, 3 սեն., 68 ք.մ., 2/8 հարկ"
55,"3 սենյականոց բնակարան նորակառույց շենքում Փավստոս Բուզանդի փողոցում, 68 ք.մ., 2 սանհանգույց","$160,000","Կենտրոն, 3 սեն., 150 ք.մ., 6/7 հարկ"
56,"3 սենյականոց բնակարան նորակառույց շենքում Տերյան փողոցում, 150 ք.մ., բարձր առաստաղներ","$182,000","Կենտրոն, 4 սեն., 154 ք.մ., 7/10 հարկ"
57,"4 սենյականոց բնակարան նորակառույց շենքում Տերյան փողոցում, 154 ք.մ., 2 սանհանգույց, բարձր առաստաղներ","$82,000","Կենտրոն, 4 սեն., 180 ք.մ., 5/9 հարկ"
58,"4 սենյականոց բնակարան նորակառույց շենքում Պուշկինի փողոցում, 180 ք.մ., 3+ սանհանգույց","$195,000","Քանաքեռ Զեյթուն, 5 սեն., 170 ք.մ., 18/19 հարկ"
59,"5 սենյականոց բնակարան նորակառույց շենքում Հրաչյա Ներսիսյան փողոցում, 170 ք.մ., 3+ սանհանգույց","$215,000","Կենտրոն, 4 սեն., 164 ք.մ., 9/14 հարկ"
60,"4 սենյականոց բնակարան նորակառույց շենքում Մեսրոպ Մաշտոցի պողոտայում, 164 ք.մ., 3+ սանհանգույց","$430,000","Արաբկիր, 3 սեն., 100 ք.մ., 4/18 հարկ"
61,"3 սենյականոց բնակարան նորակառույց շենքում Քեռու փողոցում, 100 ք.մ., 2 սանհանգույց, բարձր առաստաղներ","$750,000","Կենտրոն, 3 սեն., 95 ք.մ., 4/7 հարկ"
62,"3 սենյականոց բնակարան նորակառույց շենքում Մովսես Խորենացու փողոցում, 95 ք.մ., բարձր առաստաղներ","$750,000","Կենտրոն, 5 սեն., 209 ք.մ., 4/4 հարկ"
63,"5 սենյականոց բնակարան Հանրապետության փողոցում, 209 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ","$390,000","Արաբկիր, 4 սեն., 82 ք.մ., 15/16 հարկ"
64,"4 սենյականոց բնակարան Ավետ Ավետիսյան փողոցում, 82 ք.մ., 2 սանհանգույց, նախավերջին հարկ","$400,000","Կենտրոն, 3 սեն., 109 ք.մ., 1/6 հարկ"
65,"3 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 109 ք.մ., 2 սանհանգույց","$1,200,000","Կենտրոն, 3 սեն., 89 ք.մ., 2/4 հարկ"
66,"3 սենյականոց բնակարան Ադմիրալ Իսակովի պողոտայում, 89 ք.մ., 2 սանհանգույց, 2/4 հարկ, քարե շենք","$635,000","Կենտրոն, 3 սեն., 121 ք.մ., 6/9 հարկ"
67,"3 սենյականոց բնակարան նորակառույց շենքում Փավստոս Բուզանդի փողոցում, 121 ք.մ., 2 սանհանգույց","$320,000","Կենտրոն, 7 սեն., 356 ք.մ., 3/14 հարկ"
68,"Ընդարձակ 7 սենյականոց բնակարան նորակառույց շենքում Վարդանանց փողոցում, 356 ք.մ., 3+ սանհանգույց","$289,000","Կենտրոն, 1 սեն., 38 ք.մ., 10/15 հարկ"
69,"1 սենյականոց բնակարան նորակառույց շենքում Բյուզանդի փողոցում, 38 ք.մ., բարձր առաստաղներ, 10/15 հարկ","$200,000","Շենգավիթ, 3 սեն., 71 ք.մ., 1/2 հարկ"
70,"3 սենյականոց բնակարան Արշակունյաց պողոտայում, 71 ք.մ., 1/2 հարկ, կապիտալ վերանորոգված, քարե շենք","$295,000","Շենգավիթ, 3 սեն., 96 ք.մ., 5/5 հարկ"
71,"3 սենյականոց բնակարան Գարեգին Նժդեհի փողոցում, 96 ք.մ., 2 սանհանգույց, բարձր առաստաղներ, քարե շենք","$350,000","Կենտրոն, 3 սեն., 95 ք.մ., 4/6 հարկ"
72,"3 սենյականոց բնակարան նորակառույց շենքում Մովսես Խորենացու փողոցում, 95 ք.մ., բարձր առաստաղներ","92,000,000 ֏","Արաբկիր, 3 սեն., 67 ք.մ., 15/18 հարկ"
73,"3 սենյականոց բնակարան նորակառույց շենքում Նիկողայոս Ադոնց փողոցում, 67 ք.մ., բարձր առաստաղներ","$2,900,000","Արաբկիր, 2 սեն., 94 ք.մ., 1/6 հարկ"
74,"2 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 94 ք.մ., 2 սանհանգույց","$178,000","Արաբկիր, 4 սեն., 91 ք.մ., 3/5 հարկ"
75,"4 սենյականոց բնակարան Կոմիտասի պողոտայում, 91 ք.մ., բարձր առաստաղներ, մի քանի պատշգամբ, 3/5 հարկ",no price,"Մալաթիա Սեբաստիա, 4 սեն., 158 ք.մ., 7/14 հարկ"
76,"4 սենյականոց բնակարան նորակառույց շենքում, Ծիծեռնակաբերդի խճուղի, 158 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 3 սեն., 90 ք.մ., 18/22 հարկ"
77,"3 սենյականոց բնակարան նորակառույց շենքում Վարդանանց փողոցում, 90 ք.մ., 2 սանհանգույց",no price,"Արաբկիր, 3 սեն., 72 ք.մ., 8/9 հարկ"
78,"3 սենյականոց բնակարան նորակառույց շենքում Նիկողայոս Ադոնցի փողոցում, 72 ք.մ., 2 սանհանգույց",no price,"Նորք Մարաշ, 4 սեն., 130 ք.մ., 14/17 հարկ"
79,"4 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 130 ք.մ., 3+ սանհանգույց",no price,"Արաբկիր, 3 սեն., 117 ք.մ., 10/12 հարկ"
80,"3 սենյականոց բնակարան նորակառույց շենքում Ռիգայի փողոցում, 117 ք.մ., բարձր առաստաղներ, 10/12 հարկ",no price,"Արաբկիր, 2 սեն., 53 ք.մ., 7/9 հարկ"
81,"2 սենյականոց բնակարան Ազատության պողոտայում, 53 ք.մ., 2 սանհանգույց, 7/9 հարկ",no price,"Կենտրոն, 3 սեն., 118 ք.մ., 4/4 հարկ"
82,"3 սենյականոց բնակարան Հանրապետության փողոցում, 118 ք.մ., բարձր առաստաղներ, կոսմետիկ վերանորոգում",no price,"Կենտրոն, 2 սեն., 61 ք.մ., 9/10 հարկ"
83,"2 սենյականոց բնակարան Թումանյան փողոցում, 61 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված",no price,"Արաբկիր, 4 սեն., 107 ք.մ., 2/7 հարկ"
84,"4 սենյականոց բնակարան նորակառույց շենքում Հրաչյա Քոչար փողոցում, 107 ք.մ., 2 սանհանգույց",no price,"Այլ երկրներ, 3 սեն., 142 ք.մ., 15/24 հարկ"
85,"3 սենյականոց բնակարան նորակառույց շենքում, 142 ք.մ., 2 սանհանգույց, բարձր առաստաղներ",no price,"Կենտրոն, 3 սեն., 112 ք.մ., 2/3 հարկ"
86,"3 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 112 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 4 սեն., 174 ք.մ., 10/17 հարկ"
87,"4 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 174 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ",no price,"Կենտրոն, 5 սեն., 200 ք.մ., 5/10 հարկ"
88,"5 սենյականոց բնակարան նորակառույց շենքում Եկմալյան փողոցում, 200 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 4 սեն., 207 ք.մ., 2/6 հարկ"
89,"Ընդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 207 ք.մ.",no price,"Կենտրոն, 8 սեն., 350 ք.մ., 9/10 հարկ"
90,"8 սենյականոց բնակարան Սայաթ-Նովայի պողոտայում, 350 ք.մ., բարձր առաստաղներ, նախավերջին հարկ",no price,"Կենտրոն, 3 սեն., 87 ք.մ., 8/12 հարկ"
91,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 87 ք.մ., բարձր առաստաղներ, 8/12 հարկ",no price,"Կենտրոն, 8 սեն., 763 ք.մ., 14/14 հարկ"
92,"Ընդարձակ 8 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 763 ք.մ., 3+ սանհանգույց",no price,"Կենտրոն, 7 սեն., 350 ք.մ., 4/5 հարկ"
93,"7 սենյականոց բնակարան Պուշկինի փողոցում, 350 ք.մ., 2 սանհանգույց, նախավերջին հարկ",no price,"Կենտրոն, 7 սեն., 270 ք.մ., 8/11 հարկ"
94,"7 սենյականոց բնակարան նորակառույց շենքում Հյուսիսային պողոտայում, 270 ք.մ., 3+ սանհանգույց",no price,"Կենտրոն, 3 սեն., 127 ք.մ., 7/14 հարկ"
95,"3 սենյականոց բնակարան նորակառույց շենքում Դերենիկ Դեմիրճյանի փողոցում, 127 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 3 սեն., 73 ք.մ., 3/10 հարկ"
96,"3 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 73 ք.մ., բարձր առաստաղներ, 3/10 հարկ",no price,"Կենտրոն, 4 սեն., 174 ք.մ., 7/7 հարկ"
97,"4 սենյականոց բնակարան նորակառույց շենքում Մոսկովյան փողոցում, 174 ք.մ., 3+ սանհանգույց",no price,"Կենտրոն, 3 սեն., 187 ք.մ., 4/14 հարկ"
98,"Ընդարձակ 3 սենյականոց բնակարան նորակառույց շենքում Մոսկովյան փողոցում, 187 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 3 սեն., 116 ք.մ., 12/14 հարկ"
99,"3 սենյականոց բնակարան նորակառույց շենքում Մարշալ Բաղրամյան պողոտայում, 116 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 1 սեն., 35 ք.մ., 5/5 հարկ"
100,"1 սենյականոց բնակարան Նալբանդյան փողոցում, 35 ք.մ., բարձր առաստաղներ, կապիտալ վերանորոգված",no price,"Կենտրոն, 3 սեն., 70 ք.մ., 2/4 հարկ"
101,"3 սենյականոց բնակարան Բայրոնի փողոցում, 70 ք.մ., 2 սանհանգույց, բարձր առաստաղներ, 2/4 հարկ",no price,"Կենտրոն, 5 սեն., 515 ք.մ., 8/9 հարկ"
102,"Ընդարձակ 5 սենյականոց բնակարան նորակառույց շենքում Եկմալյան փողոցում, 515 ք.մ., 3+ սանհանգույց",no price,"Կենտրոն, 3 սեն., 99 ք.մ., 3/8 հարկ"
103,"3 սենյականոց բնակարան նորակառույց շենքում Ալեք Մանուկյանի փողոցում, 99 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 3 սեն., 118 ք.մ., 3/5 հարկ"
104,"3 սենյականոց բնակարան Նալբանդյան փողոցում, 118 ք.մ., 2 սանհանգույց, բարձր առաստաղներ",no price,"Կենտրոն, 2 սեն., 104 ք.մ., 5/7 հարկ"
105,"Ընդարձակ 2 սենյականոց բնակարան նորակառույց շենքում Պարոնյանի փողոցում, 104 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 2 սեն., 45 ք.մ., 2/5 հարկ"
106,"2 սենյականոց բնակարան Տերյան փողոցում, 45 ք.մ., բարձր առաստաղներ, մի քանի պատշգամբ, 2/5 հարկ",no price,"Ռուսաստան, 4 սեն., 160 ք.մ., 8/9 հարկ"
107,"4 սենյականոց բնակարան նորակառույց շենքում Ռուսաստանում, 160 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ",no price,"Կենտրոն, 3 սեն., 120 ք.մ., 11/14 հարկ"
108,"3 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 120 ք.մ., բարձր առաստաղներ",no price,no disc
109,© 2005-2023 List.am,no price,no disc
