,title,price,disc
10,1234567891011121314151617181920212223242526272829303132+,"$1,500,000",ԿահույքԱմբողջըԱմբողջըԱռկա էԱռկա չէՄասնակի կահույքՀամաձայնությամբ
11,ԱմբողջըԱռկա էԱռկա չէՄասնակի կահույքՀամաձայնությամբ,"$185,000",ՎերանորոգումԱմբողջըԱմբողջըՉվերանորոգվածՀին վերանորոգումՄասնակի վերանորոգումԿոսմետիկ վերանորոգումԵվրովերանորոգվածԴիզայներական ոճով վերանորոգվածԿապիտալ վերանորոգված
12,ԱմբողջըՉվերանորոգվածՀին վերանորոգումՄասնակի վերանորոգումԿոսմետիկ վերանորոգումԵվրովերանորոգվածԴիզայներական ոճով վերանորոգվածԿապիտալ վերանորոգված,"$350,000","Կենտրոն, 3 սեն., 78 ք.մ., 3/5 հարկ"
13,"3 սենյականոց բնակարան Կիևյան փողոցում, 78 ք.մ., բարձր առաստաղներ, 3/5 հարկ, կապիտալ վերանորոգված","$295,000","Արաբկիր, 5 սեն., 165 ք.մ., 11/17 հարկ"
14,"5 սենյականոց բնակարան նորակառույց շենքում Մարշալ Բաղրամյան պողոտայում, 165 ք.մ., 3+ սանհանգույց","$235,000","Կենտրոն, 5 սեն., 195 ք.մ., 4/12 հարկ"
15,"5 սենյականոց բնակարան նորակառույց շենքում Տերյան փողոցում, 195 ք.մ., 2 սանհանգույց, բարձր առաստաղներ","$500,000","Կենտրոն, 4 սեն., 136 ք.մ., 7/8 հարկ"
16,"4 սենյականոց բնակարան Դերենիկ Դեմիրճյանի փողոցում, 136 ք.մ., 2 սանհանգույց, նախավերջին հարկ","$315,000","Կենտրոն, 3 սեն., 150 ք.մ., 3/5 հարկ"
17,"3 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 150 ք.մ., 2 սանհանգույց","$385,000","Արաբկիր, 3 սեն., 67 ք.մ., 9/9 հարկ"
18,"3 սենյականոց բնակարան Ազատության պողոտայում, 67 ք.մ., 2 սանհանգույց, բարձր առաստաղներ","$565,000","Արաբկիր, 3 սեն., 198 ք.մ., 9/9 հարկ"
19,"Ընդարձակ 3 սենյականոց բնակարան Վիկտոր Համբարձումյան փողոցում, 198 ք.մ., մի քանի պատշգամբ","$57,000","Արաբկիր, 4 սեն., 146 ք.մ., 2/5 հարկ"
20,"4 սենյականոց բնակարան Օրբելի եղբայրների փողոցում, 146 ք.մ., 2 սանհանգույց, 2/5 հարկ","$95,000","Կենտրոն, 4 սեն., 148 ք.մ., 4/4 հարկ"
